quartile,task,n,roc_auc,mcc,ece
0,Ames,742,0.8373684210526315,0.5094200348728195,0.12971015198325564
0,LD50_Zhu,742,0.7468253968253968,0.414276006978371,0.1218360317594344
0,hERG_Karim,742,0.6537210158262791,0.23727822439292745,0.10298731033529701
0,NR-AhR,742,0.9444444444444444,0.6379053716127601,0.09663770030795907
0,NR-Aromatase,742,0.8214285714285715,0.3696092640067068,0.17634209571406245
0,NR-ER,742,0.5219512195121951,-0.052057920629535355,0.1406682581924226
0,NR-ER-LBD,742,0.7096774193548387,0.0,0.0662500123726204
0,SR-ARE,742,0.6904761904761905,0.042257712736425826,0.16421058888618767
0,SR-HSE,742,0.7843137254901961,0.3099115966531633,0.113623564876616
0,SR-MMP,742,0.9567099567099567,0.40043707898670583,0.23432336923993982
0,SR-p53,742,0.7720588235294117,0.23500799597021088,0.12271971817688732
1,Ames,735,0.8689965694682675,0.49045231006504164,0.08438433637221655
1,LD50_Zhu,735,0.73678715907608,0.36279397759801785,0.12297061077234422
1,hERG_Karim,735,0.7831829368334701,0.31895371658808747,0.15208777271177434
1,NR-AhR,735,0.8232323232323232,0.2783661527336163,0.1600168572745102
1,NR-Aromatase,735,0.771186440677966,0.4333665235556931,0.09316710729504965
1,NR-ER,735,0.8433919022154316,0.2948308595215561,0.09662456470899858
1,NR-ER-LBD,735,0.8057445200302343,0.4605661864718383,0.038441539088335745
1,SR-ARE,735,0.7768741159830269,0.25826998153062186,0.1415768365354039
1,SR-HSE,735,0.8936627282491945,0.24812030075187969,0.042602562017938383
1,SR-MMP,735,0.887873754152824,0.5156926737050083,0.12915221548064437
1,SR-p53,735,0.8087121212121211,0.18860838403857946,0.07282896224043928
2,Ames,745,0.838802373007045,0.5045561563058418,0.07487151754547411
2,LD50_Zhu,745,0.7279457768508864,0.3660152503759084,0.12350184255356086
2,hERG_Karim,745,0.7594123048668504,0.3526247209398088,0.1864487683633342
2,NR-AhR,745,0.8619745845552296,0.6407938743873509,0.06840885928665688
2,NR-Aromatase,745,0.7739520958083832,-0.023533076369884713,0.08323484887235931
2,NR-ER,745,0.8042191921790585,0.39217675640465083,0.06558222790287496
2,NR-ER-LBD,745,0.9520631067961165,0.7402912621359223,0.02404796246822192
2,SR-ARE,745,0.7887300252312868,0.3084898796512628,0.14583659645230054
2,SR-HSE,745,0.787878787878788,0.13116190263733102,0.0476037534401096
2,SR-MMP,745,0.8890577507598784,0.5808734145057592,0.0972396922822654
2,SR-p53,745,0.8786701208981001,0.4887344740639991,0.028780071500109555
3,Ames,748,0.8696935084713497,0.5639091482748712,0.11646333632127541
3,LD50_Zhu,748,0.8855663430420712,0.5707889007142745,0.08557802025396165
3,hERG_Karim,748,0.8683982683982684,0.4909220169903716,0.15356493369970273
3,NR-AhR,748,0.8792307692307693,0.47256189793803177,0.04823730611473899
3,NR-Aromatase,748,0.891549295774648,0.2879379453511626,0.05529653472292825
3,NR-ER,748,0.7835595776772247,0.4473148664048648,0.05135624162379027
3,NR-ER-LBD,748,0.9636243386243386,0.7843687748756959,0.015239989425192784
3,SR-ARE,748,0.7804765209345362,0.3846083606390408,0.10405897464682688
3,SR-HSE,748,0.7485549132947977,-0.011461741519278633,0.03637928699569429
3,SR-MMP,748,0.9087837837837838,0.5019277069175394,0.12328898386042189
3,SR-p53,748,0.8707692307692307,0.308343110797976,0.03912418310968899
