Split,N Train,N Val,N Test,Mean Tc,Median Tc,25th pct Tc,75th pct Tc,% Tc < 0.3,% Tc < 0.4,Internal Div,Novel Scaffolds %,Unique Scaffolds,Mean KS p (train-test),Mean WD (train-test),Structural Novelty Score,Scaffold Novelty Score,Property Balance Score,OOD Utility Score
Random,24909,3113,3115,0.7169272676591145,0.7297297297297297,0.5833333333333334,0.8571428571428571,1.8940609951845908,6.998394863563403,0.9088036228614175,37.8953421506613,1739,0.766922046193489,1.8642564547777474,0.2702702702702703,0.378953421506613,0.34913074851657977,0.3294509286120794
Butina,24942,3089,3106,0.49019502533705095,0.46835443037974683,0.34210526315789475,0.6182275541795665,15.647134578235672,35.447520927237605,0.8998357151918328,75.0801282051282,1248,0.19251739193257547,6.994319800444501,0.5316455696202531,0.750801282051282,0.12508881617975778,0.3682323128243199
Scaffold,24910,3114,3113,0.5571261573076102,0.5555555555555556,0.3902439024390244,0.7183098591549296,7.934468358496627,26.373273369739803,0.8926922620794893,100.0,3113,7.548993844562018e-13,17.930393683527754,0.4444444444444444,1.0,0.052825103202695047,0.2863425876780197
UMAP,21578,2798,2971,0.48572398954853346,0.46808510638297873,0.35767590618336886,0.5882352941176471,10.063951531470886,34.26455738808482,0.8972152363050467,68.72586872586872,1295,0.0001070155805688402,5.651922837944501,0.5319148936170213,0.6872586872586872,0.15033247143152492,0.38019382776907096
