Model Configuration,Fusion Type,Use Global,Head Type,Best Val AUROC,Best Val MCC,Best Val PR-AUC,Test AUROC,Test MCC,Test PR-AUC,Test Brier
A1_Full_GCMI,gcmi,True,deep,0.8402834534645081,0.49201199412345886,0.5867123603820801,0.8147771954536438,0.38247913122177124,0.5477324724197388,0.11038243770599365
A2_No_Fusion,none,True,deep,0.8261986374855042,0.5039917230606079,0.5872875452041626,0.8046137094497681,0.4383718967437744,0.5577757358551025,0.11439736187458038
A3_GNN_Only,none,False,deep,0.8267669677734375,0.4915626049041748,0.5917074680328369,0.7913123965263367,0.3408190906047821,0.5173330903053284,0.11401177942752838
A4_Linear_Head,gcmi,True,linear,0.8388818502426147,0.49770885705947876,0.5817309617996216,0.8151900172233582,0.4070635139942169,0.5562196969985962,0.1103401705622673
F1_GCMI,gcmi,True,deep,0.8354611396789551,0.4981994926929474,0.5847693681716919,0.8203772306442261,0.37277752161026,0.5645526051521301,0.10613289475440979
F2_FiLM,film,True,deep,0.8367434144020081,0.4707082211971283,0.5670307278633118,0.8174155354499817,0.39823752641677856,0.5455805659294128,0.10664568841457367
F3_Concat,concat,True,deep,0.849368155002594,0.4965578317642212,0.6030543446540833,0.827733039855957,0.40342503786087036,0.5607973337173462,0.10928724706172943
F4_No_Fusion,none,True,deep,0.8394174575805664,0.5136560201644897,0.5957093834877014,0.8265026211738586,0.42532777786254883,0.5642157793045044,0.10339011251926422
