model,Ames,LD50_Zhu,hERG_Karim,NR-AhR,NR-Aromatase,NR-ER,NR-ER-LBD,SR-ARE,SR-HSE,SR-MMP,SR-p53
MLP,0.5097199689682248,0.3200497952868573,0.2365606450255937,0.423690868787936,0.1038293725267628,0.1456318325903169,0.2365291931530298,0.1851205043133424,0.0288437792791958,0.3231290041000446,0.2114436297301655
RF,0.5491833158771683,0.3929220540470745,0.245551764598617,0.4108018086784296,0.0839660058321015,0.289778216006035,0.4657141383286666,0.2921911672197932,0.135677078250874,0.4152068239334867,0.1988906718698251
SVM,0.3633111349821099,0.2762221890782232,0.2242570036680694,0.1289531664205224,0.1642977121420175,0.0729719215234908,0.1651850090181664,0.1100891914385742,0.1323527109429014,0.3138231434539599,0.2093869837223783
XGB,0.5032983234706159,0.3240244881382989,0.2895557256596199,0.3592567977457762,0.0970489628162562,0.3154655638309567,0.4477664580844178,0.2114366111875717,-0.0126017870987004,0.3954127084845327,0.22680784625608
