model,test_mcc,test_roc_auc,test_accuracy,test_precision,test_recall
RF,0.3163530040583702,0.7796121564543906,0.7771651430041829,0.44660442316107607,0.5226999081374428
XGB,0.28704288168867503,0.7432357603540997,0.7897451198955914,0.45870385695874005,0.4501146697649947
MLP,0.2476862357964973,0.6938421661445083,0.8155733315047474,0.47175011401186406,0.33720719557608425
SVM,0.19644092421731035,0.6627240852155557,0.8003644621676321,0.4340893526116083,0.306012475001669
